Date,Open,High,Low,Close,Adj Close,Volume
2023-10-20,569.900024,570.000000,562.099976,563.099976,563.099976,11110988
2023-10-23,563.099976,566.000000,551.000000,552.950012,552.950012,11875035
2023-10-25,558.599976,560.799988,553.599976,556.200012,556.200012,12134624
2023-10-26,551.450012,552.900024,543.200012,547.000000,547.000000,19424825
2023-10-27,550.000000,562.500000,550.000000,561.150024,561.150024,10415296
2023-10-30,563.000000,566.700012,556.500000,565.200012,565.200012,8593704
2023-10-31,567.000000,569.500000,563.150024,565.549988,565.549988,13039696
2023-11-01,566.250000,569.650024,563.849976,566.400024,566.400024,13575575
2023-11-02,571.099976,575.450012,567.599976,572.099976,572.099976,11148516
2023-11-03,576.000000,579.500000,573.450012,578.150024,578.150024,11371371
2023-11-06,582.000000,582.500000,573.250000,574.349976,574.349976,16499138
2023-11-07,574.799988,581.200012,572.599976,579.750000,579.750000,17923281
2023-11-08,581.900024,582.599976,579.000000,580.299988,580.299988,15434808
2023-11-09,581.000000,581.849976,576.500000,578.349976,578.349976,12434363
2023-11-10,577.799988,581.000000,575.400024,579.500000,579.500000,6773038
2023-11-13,581.000000,582.500000,575.200012,581.349976,581.349976,11282362
2023-11-15,587.250000,588.000000,582.599976,584.700012,584.700012,11397676
2023-11-16,584.700012,588.000000,582.900024,584.650024,584.650024,8622660
2023-11-17,574.500000,574.500000,562.099976,563.049988,563.049988,37173221
2023-11-20,564.000000,566.799988,560.599976,563.750000,563.750000,12714585
2023-11-21,566.000000,566.650024,561.000000,561.500000,561.500000,14280013
2023-11-22,562.950012,564.500000,555.150024,558.950012,558.950012,14909071
2023-11-23,561.750000,563.500000,558.299988,559.950012,559.950012,6376210
2023-11-24,561.950012,562.450012,559.250000,560.349976,560.349976,6529851
2023-11-28,563.599976,565.200012,561.099976,564.450012,564.450012,8153314
2023-11-29,568.000000,569.000000,565.099976,568.599976,568.599976,10299034
2023-11-30,569.750000,570.200012,563.650024,564.750000,564.750000,19758998
2023-12-01,567.000000,574.200012,566.549988,571.750000,571.750000,10614230
2023-12-04,588.000000,596.000000,584.549988,594.700012,594.700012,26077882
2023-12-05,595.049988,611.299988,595.049988,608.250000,608.250000,36430152
2023-12-06,614.000000,614.000000,604.549988,608.450012,608.450012,21439069
2023-12-07,610.000000,612.549988,605.000000,611.700012,611.700012,10725706
2023-12-08,610.000000,616.799988,605.349976,614.150024,614.150024,17722136
2023-12-11,615.000000,619.900024,613.099976,614.250000,614.250000,11706255
2023-12-12,617.000000,617.950012,610.799988,612.400024,612.400024,14494836
2023-12-13,614.450012,620.500000,611.650024,619.849976,619.849976,13977914
2023-12-14,626.000000,627.750000,622.400024,623.650024,623.650024,15813797
2023-12-15,628.000000,650.000000,619.849976,648.250000,648.250000,29813572
2023-12-18,646.650024,655.650024,642.400024,648.500000,648.500000,16221796
2023-12-19,648.500000,659.599976,640.250000,655.400024,655.400024,19964008
2023-12-20,658.700012,660.400024,633.950012,636.450012,636.450012,22542056
2023-12-21,632.150024,648.950012,627.500000,643.750000,643.750000,19915516
2023-12-22,644.750000,649.400024,635.150024,636.750000,636.750000,14998068
2023-12-26,638.849976,641.299988,635.650024,638.049988,638.049988,10153089
2023-12-27,640.750000,649.450012,639.000000,648.549988,648.549988,14417646
2023-12-28,650.250000,653.299988,646.500000,651.400024,651.400024,16982092
2023-12-29,645.500000,649.599976,639.549988,642.049988,642.049988,13221898
2024-01-01,642.200012,646.900024,638.000000,641.349976,641.349976,8295548
2024-01-02,641.349976,648.000000,633.849976,639.450012,639.450012,15164482
2024-01-03,639.349976,648.000000,635.799988,643.450012,643.450012,14571772
2024-01-04,642.500000,646.400024,638.650024,642.750000,642.750000,13883388
2024-01-05,645.000000,651.750000,637.750000,641.950012,641.950012,15984585
2024-01-08,640.000000,645.000000,625.049988,627.000000,627.000000,14739531
2024-01-09,632.000000,634.349976,624.500000,625.400024,625.400024,13400235
2024-01-10,624.799988,625.299988,618.200012,621.750000,621.750000,12742464
2024-01-11,626.000000,627.150024,618.500000,620.200012,620.200012,15533860
2024-01-12,623.799988,636.500000,621.099976,633.599976,633.599976,16620797
2024-01-15,638.900024,645.500000,636.099976,640.099976,640.099976,16844018
2024-01-16,640.000000,644.900024,633.450012,636.900024,636.900024,15025543
2024-01-17,624.000000,636.799988,623.000000,626.000000,626.000000,30016308
